id,firstname,lastname,email,address,canal,country,creation_date,last_activity_date,age_group
7e2f10ba-80a7-49f1-80d7-ab533242491a,Jeffrey,Walker,leahweeks@hensley-smith.com,"50939 Emily Expressway Suite 900
South Madison, MI 59618",WEBAPP,FR,01-02-1996 00:00:00,07-05-2025 14:18:48,7
ac40f80e-2482-4ba5-8470-6795c1958cde,Kevin,Evans,craiggarrett@singh.com,"PSC 4330, Box 6307
APO AE 41490",WEBAPP,FR,01-04-1996 00:00:00,07-07-2025 05:27:34,3
117c8301-fbec-4f01-9165-ce889c228e63,Christopher,Davis,wholloway@rocha-manning.com,"700 Silva Shoals
South Marcus, NY 83333",WEBAPP,USA,12-29-1995 00:00:00,07-02-2025 21:02:08,0
e757fb2c-a453-4183-9db4-baf01d6dce7c,Michelle,Hensley,alexlewis@tucker.com,"57901 Judith Road Suite 833
New Jason, MP 84707",PHONE,FR,01-21-1996 00:00:00,07-18-2025 21:42:23,9
f4ced826-377d-4699-9b27-53683cdb398e,Albert,Smith,ywilliams@garcia.com,"4294 Watson Loop Suite 842
Williamchester, DC 74093",WEBAPP,USA,12-27-1995 00:00:00,07-01-2025 04:46:53,5
6a1b7621-0eca-472f-905f-ce31c0e6d4ff,Lauren,Mcbride,gmorris@west.info,"115 Brianna Overpass Suite 499
Markshire, PR 73876",PHONE,SPAIN,01-19-1996 00:00:00,07-17-2025 14:59:38,6
26797fc9-2a4c-4a8c-b84c-0b8dbe5658cf,Tina,Jarvis,jonesjudith@chang.com,"370 Alyssa Port Suite 136
West Stevenfurt, NV 78772",PHONE,FR,01-25-1996 00:00:00,07-21-2025 09:27:15,4
c341b4a3-b605-45b1-a70b-efefb42306f9,Martha,Whitaker,michellebrandt@lewis.info,"1042 Jennifer Union
Jenniferbury, CA 12346",PHONE,FR,01-20-1996 00:00:00,07-18-2025 07:28:45,10
b1e61c99-0964-4cc8-bad8-4584c29ae6c8,Kaylee,Townsend,nancy42@nelson.biz,"041 Robert Avenue Apt. 573
West Duane, OK 22482",PHONE,USA,01-18-1996 00:00:00,07-17-2025 00:10:44,4
0fae2dd5-4c0a-4c33-a6a1-1b0657a2ac94,Emily,Craig,dustin48@bautista.info,"38050 Kathryn Manors Suite 374
Williamsberg, NM 04593",PHONE,SPAIN,01-15-1996 00:00:00,07-14-2025 23:59:08,7
ecf6f1af-889f-4964-a848-d71c6db31e0e,Garrett,Jackson,fpeters@gilbert-chapman.info,"0395 Monique Landing
East Gregory, NE 33517",WEBAPP,FR,12-31-1995 00:00:00,07-04-2025 11:04:38,0
d25c26e3-d97e-43c5-80b5-3ef05e217b56,Sandra,Weeks,kevin94@rush-richard.org,"04609 Kristine Street
East Jessicaview, FL 44143",PHONE,SPAIN,01-23-1996 00:00:00,07-20-2025 03:39:29,4
f3964851-ffa7-4213-a28d-3ff955f2b3d5,Jody,Singh,jfrye@ruiz.com,"05139 Gordon View Apt. 195
Wongmouth, IL 45566",PHONE,FR,01-17-1996 00:00:00,07-16-2025 08:56:32,8
fc698b4d-d87e-4a0a-9939-35ae120302ac,Beth,Lane,odavis@lara.com,"73974 Cooper Mount Apt. 470
West Cindy, AK 52081",MOBILE,FR,01-13-1996 00:00:00,07-13-2025 00:25:21,2
5f7ec2bb-a5ef-474a-8447-a5f5d6333b4b,Benjamin,Williams,steven67@ellis.com,"349 Jason Key
Elizabethburgh, OH 37777",WEBAPP,USA,12-27-1995 00:00:00,07-01-2025 19:43:58,7
361eff9b-c57f-4c9d-8932-042244a220c9,Laura,Pope,ojones@sandoval-lindsey.com,"54340 Shirley Junctions Suite 829
East Davidburgh, AR 69097",PHONE,SPAIN,01-19-1996 00:00:00,07-17-2025 12:41:28,8
813396f9-57c6-41d4-bd29-07eae44df996,Sean,Wallace,vanessarobinson@henry.info,"00621 Johnson Stravenue Suite 624
South Heather, AK 75305",WEBAPP,USA,01-09-1996 00:00:00,07-10-2025 05:51:54,1
155a8437-bfce-4f2d-a175-b9b96b4e7348,Tony,Freeman,cherrydawn@fisher.net,"2913 Barr Stream Suite 715
Reyesbury, CA 06313",WEBAPP,USA,01-10-1996 00:00:00,07-11-2025 03:05:16,1
a64b0856-752a-4cab-9041-4cb1af0e6879,Nicole,Ware,markwalker@bailey.org,"05690 Bethany Freeway Apt. 823
North Lonniestad, PA 19405",PHONE,FR,01-22-1996 00:00:00,07-19-2025 08:26:37,8
55961a62-e8e9-4c2b-a896-4b76a842d0d9,Robin,Rocha,ericawarren@nguyen.com,"28533 Michael Mission Suite 919
Priceport, NJ 36853",PHONE,SPAIN,01-23-1996 00:00:00,07-19-2025 23:59:01,7
b16566bb-b6dc-4b14-a80c-063a038c1d71,Julia,Manning,clarkchristopher@hicks.info,"8926 Young Fords
North Andrew, AK 16465",PHONE,USA,01-18-1996 00:00:00,07-16-2025 10:45:53,0
13dc6297-b8a1-4990-823c-4ffaed56003f,James,Lee,sandra70@vega.com,"6045 Medina Pike Apt. 766
West Williambury, PR 44779",WEBAPP,SPAIN,01-01-1996 00:00:00,07-05-2025 01:20:32,10
773cca1e-ca62-4676-a2b0-dacd95b60baf,Alex,Smith,michaelhayden@shelton.net,"81654 James Parkway Suite 338
Melissaport, WY 60112",WEBAPP,FR,12-27-1995 00:00:00,07-01-2025 05:07:19,8
e6c95c71-bb3a-4dd4-97cd-ac369fb6a275,Jason,Lewis,brennansarah@clark.biz,"38412 Hill Springs Apt. 434
Laraborough, NY 77847",WEBAPP,USA,01-02-1996 00:00:00,07-05-2025 11:19:47,4
05ab0e7a-3e87-4b03-a59b-5c312d9e0ca8,Jennifer,Ramsey,melissa13@adams.com,"0763 Smith Islands
Callahanstad, CO 04016",PHONE,USA,01-17-1996 00:00:00,07-16-2025 01:08:35,0
63c6bd7c-a99a-4a7e-8764-4838d21d57c1,James,Lee,clarkejessica@frank.com,"132 Brittney Field Suite 690
West Matthew, PW 53082",WEBAPP,FR,01-01-1996 00:00:00,07-04-2025 23:33:51,4
